"ensembl_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","hgnc_symbol","description","gene_biotype"
"ENSG00000000003",630.384149079565,-0.0346666565216013,0.140045764435509,0.62572638752295,0.883061776054591,"TSPAN6","tetraspanin 6","protein_coding"
"ENSG00000000419",1232.01365229632,0.139282619628661,0.130381850067267,0.122303921119158,0.454900652364624,"DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","protein_coding"
"ENSG00000000457",373.763463940692,0.0518195950048464,0.127198665558231,0.519176746997421,0.832317852891654,"SCYL3","SCY1 like pseudokinase 3","protein_coding"
"ENSG00000000460",164.738672305642,-0.100678355734654,0.189299569182399,0.103415999724577,0.423239554428361,"FIRRM","FIGNL1 interacting regulator of recombination and mitosis","protein_coding"
"ENSG00000000938",3419.10052289323,0.0328451155649805,0.15913319118739,0.356430470318603,0.72649116894767,"FGR","FGR proto-oncogene, Src family tyrosine kinase","protein_coding"
"ENSG00000000971",426.700207154549,0.0529852153502227,0.165775228167316,0.181647146432252,0.545633944579026,"CFH","complement factor H","protein_coding"
"ENSG00000001036",3201.21085588745,0.0764176250866243,0.11114624190042,0.353797532129609,0.724760511182883,"FUCA2","alpha-L-fucosidase 2","protein_coding"
"ENSG00000001084",1358.14728016323,0.0191093457899144,0.1438257799656,0.760595513208129,0.939543740385676,"GCLC","glutamate-cysteine ligase catalytic subunit","protein_coding"
"ENSG00000001167",1419.06530088905,-0.181852922995976,0.207532043614269,0.0765485185915335,0.366202524675742,"NFYA","nuclear transcription factor Y subunit alpha","protein_coding"
"ENSG00000001460",300.503103133611,0.0378943658891979,0.124781443139295,0.632454202759675,0.886071516228128,"STPG1","sperm tail PG-rich repeat containing 1","protein_coding"
"ENSG00000001461",1610.55961716024,0.585104307405811,0.171186007471135,4.36431019435981e-05,0.00339442186017976,"NIPAL3","NIPA like domain containing 3","protein_coding"
"ENSG00000001497",977.673573912673,-0.000533546812584169,0.109437877139059,0.995616447782305,0.999477136423163,"LAS1L","LAS1 like ribosome biogenesis factor","protein_coding"
"ENSG00000001561",988.590409874548,0.501233290708387,0.420290831284859,0.00820505596435672,0.110881449803186,"ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","protein_coding"
"ENSG00000001617",698.384447568157,-0.0172641888551452,0.152867966596594,0.677183193860802,0.904460229257953,"SEMA3F","semaphorin 3F","protein_coding"
"ENSG00000001629",4226.92048885714,-0.0415817104492475,0.0840053876886771,0.557698180764335,0.851010982806608,"ANKIB1","ankyrin repeat and IBR domain containing 1","protein_coding"
"ENSG00000001630",111.986989871539,-0.0188034289556606,0.136303503640771,0.786070017630217,0.947092898463008,"CYP51A1","cytochrome P450 family 51 subfamily A member 1","protein_coding"
"ENSG00000001631",280.746002520602,0.0303855914279402,0.130390494188504,0.690066124735848,0.910029531011295,"KRIT1","KRIT1 ankyrin repeat containing","protein_coding"
"ENSG00000002016",374.081777625533,0.0362633482575818,0.140267136525648,0.599622050865113,0.871473036347559,"RAD52","RAD52 homolog, DNA repair protein","protein_coding"
"ENSG00000002079",1.89666384737905,0.00905560776529246,0.158044297821668,0.418392798766687,NA,"",NA,NA
"ENSG00000002330",442.141125718512,0.00440759683851203,0.110861254374692,0.95541146024606,0.990077206583664,"BAD",NA,"protein_coding"
"ENSG00000002549",4542.42818943252,-0.169505919583433,0.137361204555422,0.0725724832165278,0.357763352971504,"LAP3","BCL2 associated agonist of cell death","protein_coding"
"ENSG00000002587",41.3823304223097,-0.0467428730260478,0.166359539714111,0.0734724463926765,0.359564589124516,"HS3ST1","leucine aminopeptidase 3","protein_coding"
"ENSG00000002726",7.46350594803525,-0.000106057585085241,0.158019374619583,0.964325006715267,NA,"AOC1","heparan sulfate-glucosamine 3-sulfotransferase 1","protein_coding"
"ENSG00000002745",55.9868883588087,-0.0291786802709022,0.161054693884315,0.120315289349113,0.451810858434568,"WNT16","amine oxidase copper containing 1","protein_coding"
"ENSG00000002746",32.4870831063223,-0.0242675787548309,0.158738164080852,0.338951616917494,0.713727954038038,"HECW1","Wnt family member 16","protein_coding"
"ENSG00000002822",77.4420520312415,0.109368034501435,0.209519228681771,0.0271209207182626,0.21641802080861,"MAD1L1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","protein_coding"
"ENSG00000002834",16522.1698363876,0.0379113770753002,0.14636633405942,0.560079580557644,0.852188416756485,"LASP1","mitotic arrest deficient 1 like 1","protein_coding"
"ENSG00000002919",907.420427851609,0.338349370113842,0.156916061619102,0.00384997793411552,0.0703396623808348,"SNX11","LIM and SH3 protein 1","protein_coding"
"ENSG00000002933",1240.90850937082,-0.0117771483002955,0.158603303360747,0.101050147553024,0.418854248388817,"TMEM176A","sorting nexin 11","protein_coding"
"ENSG00000003056",5855.24498018844,-0.0193076068975273,0.130446661717052,0.796680078028943,0.950154926581696,"M6PR","transmembrane protein 176A","protein_coding"
"ENSG00000003096",441.660931934543,-0.207542276047446,0.313870752976433,0.0330201765164792,0.239649063412859,"KLHL13","mannose-6-phosphate receptor, cation dependent","protein_coding"
"ENSG00000003137",110.112299611076,0.0522940147661868,0.168198986581243,0.0827813823193616,0.38048989614076,"CYP26B1","kelch like family member 13","protein_coding"
"ENSG00000003147",144.365930450439,-0.0183063673052895,0.155247417076774,0.603925464940856,0.873137092715802,"ICA1","cytochrome P450 family 26 subfamily B member 1","protein_coding"
"ENSG00000003249",42.7950643233061,0.0966431526367422,0.201983395991299,0.00637293442617446,0.0959507943057494,"DBNDD1","islet cell autoantigen 1","protein_coding"
"ENSG00000003393",2021.76975558255,0.0214486090089256,0.120297466500517,0.785903540911939,0.947092898463008,"ALS2","dysbindin domain containing 1","protein_coding"
"ENSG00000003400",496.101020552861,0.0986498548989269,0.15599092368986,0.236349132160773,0.6177872454951,"CASP10","alsin Rho guanine nucleotide exchange factor ALS2","protein_coding"
"ENSG00000003402",4665.27580460666,0.0802139035526634,0.112353956045391,0.343422535872834,0.715806982940155,"CFLAR","caspase 10","protein_coding"
"ENSG00000003436",3223.87499850934,0.127166320747931,0.184742314859456,0.132767851157209,0.472977555744599,"TFPI","CASP8 and FADD like apoptosis regulator","protein_coding"
"ENSG00000003509",601.830798361573,0.13722409182502,0.159442464970219,0.138515996360061,0.481142642395711,"NDUFAF7","tissue factor pathway inhibitor","protein_coding"
"ENSG00000003756",3146.65167218838,0.134699241855888,0.148526135213155,0.145848106450944,0.494073231580804,"RBM5","NADH:ubiquinone oxidoreductase complex assembly factor 7","protein_coding"
"ENSG00000003987",36.0112897405523,0.0100443132388897,0.148137382861273,0.850392778720665,0.967636004846327,"MTMR7","RNA binding motif protein 5","protein_coding"
"ENSG00000003989",26.4703131569515,-6.29107120395248,1.24185511208363,8.50253806264272e-08,2.90722631643795e-05,"SLC7A2","myotubularin related protein 7","protein_coding"
"ENSG00000004059",1950.6501279851,-0.272565716610581,0.148202437532434,0.0112851642977014,0.134989932279172,"ARF5","solute carrier family 7 member 2","protein_coding"
"ENSG00000004139",157.165898000928,-0.0125745062014276,0.141019364043465,0.839580469009621,0.963967946800788,"SARM1","ARF GTPase 5","protein_coding"
"ENSG00000004142",2836.35426753246,-0.010788351795552,0.115653757273714,0.891697441220397,0.980814809513084,"POLDIP2","sterile alpha and TIR motif containing 1","protein_coding"
"ENSG00000004399",19762.075480927,0.19183416120319,0.201616984006847,0.0655147664041147,0.339410690902049,"PLXND1","DNA polymerase delta interacting protein 2","protein_coding"
"ENSG00000004455",3113.10102440897,0.23245181817438,0.0804952959199763,0.00115622779050557,0.032841274287461,"AK2","plexin D1","protein_coding"
"ENSG00000004468",268.448709453313,-0.075829351534246,0.185140488123046,0.00203534158502985,0.0469865735081669,"CD38","adenylate kinase 2","protein_coding"
"ENSG00000004478",1536.45030374064,-0.0231229686374952,0.12293545895081,0.762957353258226,0.940301448100887,"FKBP4","CD38 molecule","protein_coding"
"ENSG00000004487",2863.69779811158,-0.319496916952309,0.12229319334095,0.00137887500727095,0.0368560007387699,"KDM1A","FKBP prolyl isomerase 4","protein_coding"
"ENSG00000004534",3774.21309600062,0.0414455870913542,0.139809578361295,0.585586250291012,0.864873188897613,"RBM6","lysine demethylase 1A","protein_coding"
